text,selected_text,sentiment,textID
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,37
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,38
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive,39
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,40
im an avid fan of **** magazine and i love your magazines,avid fan of,positive,41
MAYDAY?!,MAYDAY?!,neutral,42
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,43
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,I love to!,positive,44
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,45
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative,46
:visiting my friendster and facebook,:visiting my friendster and facebook,neutral,47
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative,48
 which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,49
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,50
" also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",neutral,51
 hm... Both of us I guess...,hm... Both of us I guess...,neutral,52
 it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,53
 romance zero is funny,romance zero is funny,positive,54
 I`d rather do the early run..but I am a morning runner,I`d rather do the early run..but I am a morning runner,neutral,55
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,56
will be back later.  http://plurk.com/p/rp3k7,will be back later.,neutral,57
Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,58
 what fun are you speaking of?,what fun are you speaking of?,neutral,59
"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative,60
 haha yes,haha yes,neutral,61
I give in to easily,I give in to easily,negative,62
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,63
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,64
Is at a photoshoot.,Is at a photoshoot.,neutral,65
  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,66
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,67
Chilliin,Chilliin,positive,68
" If you know such agent, do let me know","If you know such agent, do let me know",neutral,69
I still smell of smoke  #kitchenfire,I still smell of smoke  #kitchenfire,neutral,70
 a celtics-lakers rematch sounds better don`t you think? lol,better,positive,71
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,72
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,73
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,74
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,75
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",BADDD.,negative,76
 My sources say no,My sources say no,neutral,77
I am sooo tired,I am sooo tired,negative,78
" Hey, you change your twitter account, and you didn`t even tell me...","Hey, you change your twitter account, and you didn`t even tell me...",neutral,79
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,80
 lucky kid...i so wanna see loserville  pity im in oz....,lucky,positive,81
fell asleep waiting for my ride!,fell asleep waiting for my ride!,neutral,82
Sick. With a flu like thing.,Sick.,negative,83
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative,84
Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,85
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,86
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,87
i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative,88
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,positive,89
 SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive,90
_Mounce yes and it lasts way past my bedtime!,_Mounce yes and it lasts way past my bedtime!,neutral,91
 Hi  how are you doing ???  *just joined twitter...*,Hi  how are you doing ???  *just joined twitter...,neutral,92
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,tired,negative,93
eating ice cream and then getting ready for graduation.,eating ice cream and then getting ready for graduation.,neutral,94
Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive,95
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative,96
 hemp cloth is marvelous but unfortunately no,unfortunately,negative,97
Gonna read a story bout adam lambert online then bed. Nighty night,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,98
 We saw that in none 3D - the baddie`s the best,best,positive,99
4am. And Im on the beach. Pretty,Pretty,positive,100
" Certainly not Cheers than, huh?","Certainly not Cheers than, huh?",neutral,101
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative,102
i realy wanted to go out cause its so nice but everybodys busy,busy,negative,103
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,Awesome.,positive,104
at least I get to watch over time  Let`s go Pens!!,at least I get to watch over time  Let`s go Pens!!,neutral,105
 cool i wear black most of the time when i go out,cool i wear black most of the time when i go out,neutral,106
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,thanks,positive,107
 have a safe trip joshy poo.......you`ll knock them dead at your speech,safe,positive,108
" woof, I wish I was allowed to go",I wish I was allowed to go,positive,109
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,110
  has tickets.......?,has tickets.......?,neutral,111
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you,",positive,112
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,113
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive,114
So many tests todayyy  I don`t feel confident about anyy.,I don`t feel confident,negative,115
graduation is done  im a little sad.. anyone want to hang out???,sad.,negative,116
 hahaa your awesomee !,hahaa your awesomee !,positive,117
holy smokes! star trek was freaking awesomeeeee,awesomeeeee,positive,118
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,119
" I had it! On my itunes, but then I lost all my songs.","I had it! On my itunes, but then I lost all my songs.",neutral,120
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,121
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Not looking forward,negative,122
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Poor you,negative,123
not well,not well,negative,124
 Not a prob hun,Not a prob,positive,125
"at dads, watching some mtv and am going on sims2 in a minutee","at dads, watching some mtv and am going on sims2 in a minutee",neutral,126
 Absolutely,Absolutely,neutral,127
 what`s the matter chickadee?,what`s the matter chickadee?,neutral,128
 hey mia!  totally adore your music.  when will your cd be out?,y adore,positive,129
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",good,positive,130
 =O you need to ask him something? Lmao I love him too,I love him too,positive,131
 those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative,132
 why are you sad?,sad?,negative,133
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,134
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive,135
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,136
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.","Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,137
Humous and Dorito`s.... Oh yes,Humous and Dorito`s.... Oh yes,neutral,138
"missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative,139
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,140
"These kids are terrible! If I was in Good Evans, I`d call Childline",terrible!,negative,141
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative,142
" What`s sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative,143
Hate fighting,Hate fighting,negative,144
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol","I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,145
Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative,146
Just came 11th in cross country and beat dumbo,Just came 11th in cross country and beat dumbo,neutral,147
Candle wax is very enjoyable.,enjoyable.,positive,148
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive,149
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,150
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morning tweets!!,positive,151
 me too. I hate my computer so much..,hate,negative,152
 fine! Going to do my big walk today 20 or so miles,fine!,positive,153
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,i don`t like the other ones.,negative,154
Mmmmmmmm... ? it in the morning,Mmmmmmmm... ? it in the morning,neutral,155
 me neither,me neither,neutral,156
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah","Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,157
Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative,158
"_Laurie sending love, blessings & healing thoughts to you & family  peace","sending love, blessings & healing thoughts to you & family  peace",positive,159
My back hurts...really bad,.really bad,negative,160
" ah yes, I know that feeling","ah yes, I know that feeling",neutral,161
Night of the cookers with my dad,Night of the cookers with my dad,neutral,162
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,brutal,negative,163
 Nope I am in Coquitlam,Nope I am in Coquitlam,neutral,164
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,boring,negative,165
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive,166
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,167
Few Bevvies 2day in twn..great on a day off!!,great,positive,168
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,excited,positive,169
 good morning,good morning,positive,170
 its the best show EVER!,its the best show EVER!,positive,171
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,messed,negative,172
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,173
 I want to know when the auditions are Mander! Text or...reply please!,I want to know when the auditions are Mander! Text or...reply please!,neutral,174
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,NOT THE SECRET NAMEREBECCA PLEASE,negative,175
 I miss my neice  can`t wait to see her bad n grown ****! Lol,miss,negative,176
i need to get my computer fixed,i need to get my computer fixed,neutral,177
really hopes her car`s illness is not terminal...,illness,negative,178
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.","All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,179
 no sir...i woulda put honey...but i don`t have any,no sir...i woulda put honey...but i don`t have any,neutral,180
who watched X-men origins: wolverine? i totally loved it! haha,i totally loved it!,positive,181
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,i <3 you. u helped me thru the hrdest time of my life!,positive,182
 I`m sad that I missed you guys last night!,sad,negative,183
Finally got a call for marriage counseling 3 days late....,Finally got a call for marriage counseling 3 days late....,neutral,184
 ok then,ok then,neutral,185
_420 why baby?,why baby?,neutral,186
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,sick!,negative,187
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,188
lost my tooth 2day whilst i was eating gum...oww,oww,negative,189
happy 1 year! <3,happy 1 year! <3,positive,190
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive,191
 *phew*  Will make a note in case anyone else runs into the same issueï¿½,*phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,192
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,193
I`m starving!! This diet is killing me but I can`t eat after 8pm,This diet is killing me,negative,194
 i talk to you,i talk to you,neutral,195
im soo bored...im deffo missing my music channels,bored..,negative,196
 nite nite bday girl  have fun at concert,e fun,positive,197
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now","So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,198
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,199
should be sleeping.  lost my voice a couple day ago.,lost my voice,negative,200
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,hate,negative,201
 I`ve heard this fall. I`m waiting too!,I`ve heard this fall. I`m waiting too!,neutral,202
 more nightmares?  *huggles*,more nightmares?  *huggles*,neutral,203
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative,204
going to bed its late and I have headache,headache,negative,205
happy mother`s day to all moms out there...,happy,positive,206
Grabbing coffee from  then making mom breakfast,Grabbing coffee from  then making mom breakfast,neutral,207
im thinking that im going to have fun tonight....and maybe some changes are coming,going to have fun,positive,208
 thanks. before the major chop.,thanks. before the major chop.,neutral,209
" Haha I know, I cant handle the fame!  and thank you!",d thank you!,positive,210
just got up and updated my ipod,just got up and updated my ipod,neutral,211
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,HAHAHA,positive,212
 We never miss ICarly - my son has a huge crush on Miranda,crush,positive,213
Saw James carville in the store today. His head is really that bald,Saw James carville in the store today. His head is really that bald,neutral,214
yellow for   ? http://blip.fm/~5z05g,yellow for   ? http://blip.fm/~5z05g,neutral,215
 which means you`re just going to have to come back to vancouver and have it our way! hahah,which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,216
Feeling smooth like chrome,Feeling smooth,positive,217
Ew traffic,Ew traffic,negative,218
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,219
@_Ra_Ra_ your not alone...i need coffee too.,your not alone...i need coffee too.,neutral,220
 Sounds like me,Sounds like me,neutral,221
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,222
Walking to class. I hate not having a bike....especially mine.,I hate not having a bike..,negative,223
_nesmith,_nesmith,neutral,224
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",This is worse than taxes.,negative,225
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",JONAS BROTHERS - Live to party.                It`s rocking so hard,positive,226
happy mother`s day to all the mothers in the world.,happy,positive,227
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",would love to test it though.,positive,228
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,Fun night!,positive,229
The exception for a short dude: Larenz fineass Tate yum,The exception for a short dude: Larenz fineass Tate yum,neutral,230
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",I thought Wolverine was awesome.,positive,231
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",Hopefully,positive,232
 Yes i work 6 to 3...,Yes i work 6 to 3...,neutral,233
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is","Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,234
Done at the spa   now meeting vic for some late lunch!,Done at the spa   now meeting vic for some late lunch!,neutral,235
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,Happy,positive,236
 Always have wanted to go to Oz,Always have wanted to go to Oz,neutral,237
 Thx,Thx,neutral,238
 http://twitpic.com/4jaz5 - Cool... luv it,luv,positive,239
  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there,positive,240
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,241
 If only we could ever actually be allowed to stay here and do that,If only we could ever actually be allowed to stay here and do that,neutral,242
 Let me know how that turns out!!,Let me know how that turns out!!,neutral,243
 was that sass I detect?  As long as it isn`t back sass! Haha,was that sass I detect?  As long as it isn`t back sass! Haha,neutral,244
" yeah I was thinking about that ,ahaha",",ahaha",positive,245
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,246
I`m not sleeping at all until  accepts my appology,I`m not sleeping at all un,negative,247
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Seriously,",negative,248
" I live for pain, bring it on","I live for pain, bring it on",neutral,249
"okay, i`m out for a while  back later!","okay, i`m out for a while  back later!",neutral,250
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,g What is this powerblog challenge you keep talking about?  I`m a newbie followe,neutral,251
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,died.,positive,252
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,253
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",not going to well!,negative,254
going to shower because i don`t want to smell at school tomorrow,going to shower because i don`t want to smell at school tomorrow,neutral,255
 Sigh... you know I am...,Sigh... you know I am...,neutral,256
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",hopefully,positive,257
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,258
just got home from work.... and is chugging down a big bottle of apple juice.,just got home from work.... and is chugging down a big bottle of apple juice.,neutral,259
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,g harmed,negative,260
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,what an amazing day.,positive,261
 it was only once for my big brother...and I`m done now,it was only once for my big brother...and I`m done now,neutral,262
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,263
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning","Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,264
FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive,265
  hope he is ok!,hope,positive,266
can`t school just be done already? it hurts too much... seeing him every day,it hurts too much...,positive,267
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?","I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,268
 Hell Yeah!,Hell Yeah!,neutral,269
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,270
 i know!!,i know!!,neutral,271
 huh what the ****? Smelly? Noooo. I love alex Vixon,huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,272
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",GREAT,positive,273
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",Happy b-day!,positive,274
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank,positive,275
HAPPY MOTHERS DAY.!,HAPPY,positive,276
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",glad,positive,277
  Thanks,Thanks,positive,278
twittering after 2 days!,twittering after 2 days!,neutral,279
Getting ready for week  Its too nice today to be stuck inside working!,Its too nice,positive,280
I am tres depressed,depressed,negative,281
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",sick.,negative,282
Happy Mothers Day people. i love my mom a lot still,Happy Mothers Day people. i love my mom a lot still,positive,283
 I`m sorry to hear that.,sorry,negative,284
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",", he was soooo friendly.",positive,285
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",happy,positive,286
Is getting the hang of Twitter.,Is getting the hang of Twitter.,neutral,287
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,288
I want it BACK NOW!: http://bit.ly/PP1WZ,I want it BACK NOW!:,neutral,289
Going to miss my roomie ... We will no longer be roomies starting tomorrow,miss,negative,290
